authoritativeMN,identifier
urn:node:LTER,doi:10.6073/AA/knb-lter-cwt.1070.4
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/9547/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/1206/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-bes/1830/100
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/8974/1
urn:node:LTER,doi:10.6073/AA/knb-lter-luq.153.3
urn:node:LTER,doi:10.6073/AA/knb-lter-cdr.143122.123
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/1582/1
urn:node:LTER,knb-lter-vcr.202.9
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/9235/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/7435/1
urn:node:LTER,knb-lter-arc.10059.5
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/1216/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-knz/34/7
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/88/122261
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/706/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/15335/2
urn:node:LTER,doi:10.6073/AA/knb-lter-nwt.82.7
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/2256/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/10175/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/10458/1
urn:node:LTER,knb-lter-cap.323.9
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/9785/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/4113/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/533/2
urn:node:LTER,knb-lter-bes.88.570
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/2145/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-luq/36/3674250
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/9091/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-gce/15/31
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3538/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/7604/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-gce/216/21
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-gce/77/37
urn:node:LTER,doi:10.6073/AA/knb-lter-fce.434.5
urn:node:LTER,knb-lter-bes.182.570
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/776/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hfr/76/15
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/9309/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/7003/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/2979/2
urn:node:LTER,doi:10.6073/AA/knb-lter-cdr.28052.123
urn:node:LTER,doi:10.6073/AA/knb-lter-arc.850.1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/4087/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-cdr/457/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5375/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-and/4548/7
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/395/16
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/8081/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/2353/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/317/17
urn:node:LTER,knb-lter-cap.26.11
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/473/13
urn:node:LTER,doi:10.6073/AA/knb-lter-lno.262.1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/8214/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/7/1
urn:node:LTER,doi:10.6073/AA/knb-lter-cdr.123141.123
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/6365/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/51/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/12458/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/8318/2
urn:node:LTER,knb-lter-cap.296.5
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/1082/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/5519/1
urn:node:LTER,knb-lter-mcm.16.3
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/2412/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/6114/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-gce/417/4
urn:node:LTER,knb-lter-arc.10437.3
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/3707/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/13811/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/4913/1
urn:node:LTER,doi:10.6073/AA/knb-lter-cdr.70245.123
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/8231/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/10563/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-gce/47/31
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-mcr/32/26
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/2173/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat-ledaps/35/1
urn:node:LTER,doi:10.6073/AA/knb-lter-lno.30.1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/6988/2
urn:node:LTER,knb-lter-ntl.51.3
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/3148/2
urn:node:LTER,doi:10.6073/AA/knb-lter-fce.263.5
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/ecotrends/8874/2
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-gce/98/30
urn:node:LTER,doi:10.6073/AA/knb-lter-cwt.1093.4
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/6578/1
urn:node:LTER,knb-lter-cap.284.10
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-fce/1080/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/7360/1
urn:node:LTER,knb-lter-cap.274.6
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/lter-landsat/1762/1
urn:node:LTER,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/5014/5
